MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
15077707,2015,Aug,9,Fire,GRASS - Small Grass Fire,B3,AFD,00-1801,3F,Code 3,1,"(30313525, 97665648)"
15077708,2015,Aug,9,Fire,GRASS - Small Grass Fire,B3,AFD,00-1801,3F,Code 3,1,"(30313525, 97665648)"
15052719,2015,May,29,Fire,AUTO - Auto Fire,B3,AFD,00-4005,2F,Left Blank,7,"(30442108, 97665823)"
15077734,2015,Aug,9,Fire,BBQ - Unsafe Cooking,B4,AFD,00-1705,4F,Code 1,5,"(30235463, 97790165)"
15077753,2015,Aug,9,Fire,TRASH - Trash Fire,B3,AFD,00-4001,3F,Code 3,7,"(30416780, 97669255)"
15077769,2015,Aug,9,Fire,AUTO - Auto Fire,B4,AFD,00-1707,2F,Code 3,3,"(30219201, 97755821)"
15052769,2015,May,29,Fire,AUTO - Auto Fire,B4,AFD,00-27SV,2F,Code 3,,"(30227740, 97821525)"
15077852,2015,Aug,10,Fire,GRASS - Small Grass Fire,B5,AFD,00-2402,3F,Code 3,2,"(30194729, 97734853)"
15077975,2015,Aug,10,Fire,AUTO - Auto Fire,B4,AFD,00-3203,2F,Code 3,8,"(30262285, 97789230)"
15052814,2015,May,29,Fire,TRASH - Trash Fire,B2,AFD,00-4501,3F,Code 3,6,"(30487909, 97771299)"
15052839,2015,May,29,Fire,ELEC - Electrical Fire,B1,AFD,00-0401,3F,Code 3,9,"(30270606, 97754435)"
15052840,2015,May,29,Fire,TRASH - Trash Fire,B3,AFD,00-2606,3F,Code 3,1,"(30302634, 97660994)"
15078016,2015,Aug,10,Fire,GRASS - Small Grass Fire,B3,AFD,00-0804,3F,Code 3,7,"(30371061, 97722056)"
15078058,2015,Aug,10,Fire,GRASS - Small Grass Fire,B5,AFD,00-3503,3F,Code 3,3,"(30215055, 97710298)"
15078107,2015,Aug,10,Fire,AUTO - Auto Fire,B5,AFD,00-3504,2F,Code 3,2,"(30221760, 97683126)"
15052949,2015,May,29,Fire,ELEC - Electrical Fire,B4,AFD,00-2903,3F,Code 3,5,"(30181341, 97840059)"
15053030,2015,May,30,Fire,AUTO - Auto Fire,B5,AFD,00-3502,2F,Code 3,3,"(30229422, 97743267)"
15053163,2015,May,30,Fire,TRASH - Trash Fire,B2,AFD,00-1605,3F,Code 3,7,"(30333681, 97726967)"
15053191,2015,May,30,Fire,ELEC - Electrical Fire,B3,AFD,00-1802,3F,Code 3,1,"(30302699, 97679580)"
15078138,2015,Aug,10,Fire,DUMP - Dumpster Fire,B3,AFD,00-4005,3F,Code 3,7,"(30439643, 97668040)"
15053215,2015,May,30,Fire,ELEC - Electrical Fire,B4,AFD,00-2702,3F,Code 1,8,"(30233931, 97838458)"
15078155,2015,Aug,10,Fire,TRASH - Trash Fire,B5,AFD,00-2404,3F,Code 3,2,"(30166050, 97742529)"
15078183,2015,Aug,10,Fire,ELEC - Electrical Fire,B4,AFD,00-2005,3F,Code 3,2,"(30205367, 97783051)"
15053256,2015,May,30,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2306,4F,Code 1,4,"(30352625, 97691964)"
15078339,2015,Aug,11,Fire,GRASS - Small Grass Fire,B5,AFD,00-2205,3F,Code 3,3,"(30220351, 97688368)"
15078342,2015,Aug,11,Fire,GRASS - Small Grass Fire,B5,AFD,00-2206,3F,Code 3,3,"(30218914, 97691250)"
15078366,2015,Aug,11,Fire,BBQ - Unsafe Cooking,B3,AFD,00-0801,4F,Code 1,4,"(30369805, 97716986)"
15053426,2015,May,31,Fire,ELEC - Electrical Fire,B4,AFD,00-1712,3F,Code 3,5,"(30235429, 97806020)"
15053431,2015,May,31,Fire,ELEC - Electrical Fire,B1,AFD,00-1206,3F,Code 3,10,"(30306439, 97745697)"
15053481,2015,May,31,Fire,BBQ - Unsafe Cooking,B2,AFD,00-2101,4F,Code 1,10,"(30356335, 97755530)"
15053483,2015,May,31,Fire,BBQ - Unsafe Cooking,B4,AFD,00-1101,4F,Code 1,5,"(30248591, 97775042)"
15053496,2015,May,31,Fire,TRASH - Trash Fire,B3,AFD,00-2803,3F,Code 1,7,"(30412153, 97696590)"
15053522,2015,May,31,Fire,DUMP - Dumpster Fire,B1,AFD,00-1204,3F,Code 3,4,"(30325500, 97726624)"
15053535,2015,May,31,Fire,TRASH - Trash Fire,B4,AFD,00-2705,3F,Code 3,8,"(30219985, 97870375)"
15078393,2015,Aug,11,Fire,GRASS - Small Grass Fire,B3,AFD,00-0807,3F,Code 3,7,"(30385016, 97735336)"
15078394,2015,Aug,11,Fire,GRASS - Small Grass Fire,B3,AFD,00-0807,3F,Code 3,7,"(30387612, 97743198)"
15078401,2015,Aug,11,Fire,ELEC - Electrical Fire,B5,AFD,00-4205,3F,Code 3,2,"(30202234, 97667700)"
15078445,2015,Aug,11,Fire,GRASS - Small Grass Fire,B2,AFD,00-4404,3F,Code 3,6,"(30443881, 97742383)"
15053593,2015,May,31,Fire,ELEC - Electrical Fire,B3,AFD,00-1801,3F,Code 3,1,"(30321050, 97687617)"
15053595,2015,May,31,Fire,TRASH - Trash Fire,B2,AFD,00-2103,3F,Code 3,10,"(30385319, 97748791)"
15053604,2015,May,31,Fire,ELEC - Electrical Fire,B5,AFD,00-4204,3F,Code 3,2,"(30203811, 97641001)"
15078645,2015,Aug,12,Fire,AUTO - Auto Fire,B5,AFD,00-3503,2F,Code 3,3,"(30215055, 97710298)"
15078670,2015,Aug,12,Fire,GRASS - Small Grass Fire,B4,AFD,00-3610,3F,Code 3,5,"(30167032, 97784984)"
15078673,2015,Aug,12,Fire,GRASS - Small Grass Fire,B3,AFD,00-4001,3F,Code 3,7,"(30423659, 97671305)"
15078680,2015,Aug,12,Fire,GRASS - Small Grass Fire,B3,AFD,00-4001,3F,Left Blank,7,"(30420119, 97672236)"
15078687,2015,Aug,12,Fire,AUTO - Auto Fire,B5,AFD,00-3503,2F,Code 3,3,"(30215055, 97710298)"
15078748,2015,Aug,12,Fire,GRASS - Small Grass Fire,B2,AFD,00-1603,3F,Code 3,4,"(30330176, 97715653)"
15053628,2015,May,31,Fire,ELEC - Electrical Fire,B3,AFD,00-1802,3F,Code 3,1,"(30298427, 97683624)"
15078821,2015,Aug,12,Fire,TRASH - Trash Fire,B2,AFD,00-3404,3F,Code 3,6,"(30471397, 97790309)"
15053659,2015,May,31,Fire,GRASS - Small Grass Fire,B2,AFD,00-3907,3F,Code 1,6,"(30437161, 97818640)"
15053661,2015,May,31,Fire,ELEC - Electrical Fire,B3,AFD,00-4003,3F,Code 3,1,"(30359119, 97644639)"
15078717,2015,Aug,12,Fire,GRASS - Small Grass Fire,B3,AFD,00-4001,3F,Code 3,7,"(0, 0)"
15053802,2015,Jun,1,Fire,AUTO - Auto Fire,B3,AFD,00-0802,2F,Code 3,4,"(30364665, 97696115)"
15053818,2015,Jun,1,Fire,AUTO - Auto Fire,B2,AFD,00-1602,2F,Code 3,4,"(30340174, 97699605)"
15053849,2015,Jun,1,Fire,ELEC - Electrical Fire,B5,AFD,00-2202,3F,Code 3,3,"(30235454, 97724774)"
15078969,2015,Aug,13,Fire,GRASS - Small Grass Fire,B5,AFD,00-0701,3F,Code 3,1,"(30266065, 97720519)"
15078971,2015,Aug,13,Fire,GRASS - Small Grass Fire,B5,AFD,00-0701,3F,Left Blank,1,"(30271759, 97719477)"
15078993,2015,Aug,13,Fire,ELEC - Electrical Fire,B3,AFD,00-1403,3F,Code 3,9,"(30291690, 97718393)"
15053912,2015,Jun,1,Fire,TRASH - Trash Fire,B2,AFD,00-1603,3F,Code 3,4,"(30328737, 97715860)"
15079069,2015,Aug,13,Fire,AUTO - Auto Fire,B5,AFD,00-3502,2F,Code 3,9,"(30233577, 97740367)"
15079097,2015,Aug,13,Fire,AUTO - Auto Fire,B4,AFD,00-3201,2F,Code 3,,"(30273153, 97798577)"
15079108,2015,Aug,13,Fire,GRASS - Small Grass Fire,B5,AFD,00-0601,3F,Code 3,9,"(30242975, 97736066)"
15079109,2015,Aug,13,Fire,GRASS - Small Grass Fire,B5,AFD,00-3502,3F,Other,3,"(30223022, 97747118)"
15079203,2015,Aug,13,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2202,4F,Code 1,3,"(30238844, 97730358)"
15079216,2015,Aug,13,Fire,BBQ - Unsafe Cooking,B4,AFD,00-2005,4F,Code 1,2,"(30197935, 97789763)"
